"year","duration","years","track","artist"
"2010","3.97","Years 2010-2019","L$D","A$AP Rocky"
"2010","3.36","Years 2010-2019","Chanel (Go Get It)","Young Thug Featuring Gunna & Lil Baby"
"2010","4.85","Years 2010-2019","$ave Dat Money","Lil Dicky Featuring Fetty Wap & Rich Homie Quan"
"2010","4.47","Years 2010-2019","A Sky Full Of Stars","Coldplay"
"2010","5.72","Years 2010-2019","Bad And Boujee","Migos Featuring Lil Uzi Vert"
"2010","4.14","Years 2010-2019","On Fire","Lil Wayne"
"2010","3.47","Years 2010-2019","Subeme La Radio","""Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul"""
"2010","3.6","Years 2010-2019","Part Of Me","Katy Perry"
"2010","4.57","Years 2010-2019","American Saturday Night","Brad Paisley"
"2010","3.79","Years 2010-2019","I'm Ready","AJR"
"2010","2.95","Years 2010-2019","Gangsta","Kehlani"
"2010","3.78","Years 2010-2019","Play It Again","Luke Bryan"
"2010","3.74","Years 2010-2019","American Girl","Bonnie McKee"
"2010","3.65","Years 2010-2019","Family Man","Craig Campbell"
"2010","3.61","Years 2010-2019","Blem","Drake"
"2010","4.07","Years 2010-2019","Brand New","Ben Rector"
"2010","3.91","Years 2010-2019","Raging Fire","Phillip Phillips"
"2010","4.09","Years 2010-2019","Die For Me","Post Malone Featuring Future & Halsey"
"2010","3.21","Years 2010-2019","Hide Away","Daya"
"2010","3.41","Years 2010-2019","Mask Off","Future"
"2010","3.5","Years 2010-2019","A Woman Like You","Lee Brice"
"2010","3.17","Years 2010-2019","Fix","Chris Lane"
"2010","3.25","Years 2010-2019","Mr. Saxobeat","Alexandra Stan"
"2010","2.66","Years 2010-2019","Keep Them Kisses Comin'","Craig Campbell"
"2010","2.5","Years 2010-2019","Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry"
"2010","3.5","Years 2010-2019","Memories","David Guetta Featuring Kid Cudi"
"2010","2.9","Years 2010-2019","Watermelon Sugar","Harry Styles"
"2010","3.39","Years 2010-2019","If It Ain't Love","Jason Derulo"
"2010","4.31","Years 2010-2019","Money To Blow","Birdman Featuring Lil Wayne & Drake"
"2010","3.75","Years 2010-2019","Rude","MAGIC!"
"2010","3.7","Years 2010-2019","Call On Me","Starley"
"2010","3.01","Years 2010-2019","Cheerleader","OMI"
"2010","3.7","Years 2010-2019","The Way Life Goes","Lil Uzi Vert Featuring Nicki Minaj"
"2010","3.08","Years 2010-2019","Lego House","Ed Sheeran"
"2010","9.13","Years 2010-2019","Runaway","Kanye West Featuring Pusha T"
"2010","3.75","Years 2010-2019","Hillbilly Bone","Blake Shelton Featuring Trace Adkins"
"2010","3.91","Years 2010-2019","OOOUUU","Young M.A"
"2010","3.4","Years 2010-2019","That's My Girl","Fifth Harmony"
"2010","4.88","Years 2010-2019","Downtown","""Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz"""
"2010","3.16","Years 2010-2019","Prayer In C","Lillywood & Robin Schulz"
"2010","4.1","Years 2010-2019","Dedication","Nipsey Hussle Featuring Kendrick Lamar"
"2010","3.82","Years 2010-2019","Where Do Broken Hearts Go","One Direction"
"2010","3.58","Years 2010-2019","Bad Liar","Selena Gomez"
"2010","3.15","Years 2010-2019","Worth It","YK Osiris"
"2010","3.81","Years 2010-2019","Unconditionally","Katy Perry"
"2010","3.51","Years 2010-2019","Little Toy Guns","Carrie Underwood"
"2010","3.66","Years 2010-2019","Omerta","Drake"
"2010","3.25","Years 2010-2019","Into The Unknown","Idina Menzel & AURORA"
"2010","2.88","Years 2010-2019","The Fix","Nelly Featuring Jeremih"
"2010","5.06","Years 2010-2019","Pop That","""French Montana Featuring Rick Ross, Drake, Lil Wayne"""
"2010","3.78","Years 2010-2019","The Way","Ariana Grande Featuring Mac Miller"
"2010","3.48","Years 2010-2019","Rich","Maren Morris"
"2010","3.29","Years 2010-2019","Up Down","Morgan Wallen Featuring Florida Georgia Line"
"2010","3.94","Years 2010-2019","P.Y.T. (Pretty Young Thing)","Glee Cast"
"2010","3.19","Years 2010-2019","Animal","Glee Cast"
